en_sents,vi_sents
We must give it time,chúng ta phải cho nó thời gian
Will you look over my report?,bạn sẽ xem qua báo cáo của tôi?
Is there something we can do?,chúng ta có thể làm gì?
Professor White published his first book last year,giáo sư trắng xuất bản cuốn sách đầu tiên của ông năm ngoái
Why does Tom want us to do this?,Tại sao tom muốn chúng ta làm điều này?
Tom wants us to know he did it.,Tom muốn chúng tôi biết anh ấy đã làm điều đó.
Tom left quietly.,Tom lặng lẽ rời đi.
"What's on your mind, Tom?",Bạn đang nghĩ gì vậy?
He graduated from college at the age of 22,anh tốt nghiệp đại học năm 22 tuổi
The wicked witch cast a spell on the man and turned him into a bug,mụ phù thủy độc ác đã bỏ bùa vào người đàn ông và biến anh ta thành một con bọ
She didn't do it out of malice.,cô ấy đã không làm điều đó vì ác ý.
Why have you been asking me these questions?,Tại sao bạn lại hỏi tôi những câu hỏi này?
Tom got sunburned,tom bị cháy nắng
I told Tom I thought it was a good idea.,tôi nói với tom tôi nghĩ rằng đó là một ý tưởng tốt.
It is often easier to make plans than to carry them out.,thường dễ thực hiện kế hoạch hơn là thực hiện chúng.
What's your favorite joke?,trò đùa yêu thích của bạn là gì?
Please make your reservation one week in advance,vui lòng đặt chỗ trước một tuần
"If he had worked harder, he might be a rich man now.","nếu anh ấy làm việc chăm chỉ hơn, bây giờ anh ấy có thể là một người đàn ông giàu có."
He studies American history,anh ấy học lịch sử mỹ
I think I'll take the test this time,tôi nghĩ rằng tôi sẽ làm bài kiểm tra lần này
The floor gave way,sàn nhường đường
Mary spends hours in the bathroom,mary dành hàng giờ trong phòng tắm
I'm going to go to Boston.,Tôi sẽ đi đến boston.
I finally met the right woman.,Cuối cùng tôi đã gặp đúng người phụ nữ.
Aren't you in charge?,bạn không chịu trách nhiệm?
The store changed hands at the end of last summer.,cửa hàng đã đổi chủ vào cuối mùa hè năm ngoái.
The trees were full of birds,cây cối đầy chim
Tom's new shirt shrunk when he washed it and now it doesn't fit.,Chiếc áo mới của tom co lại khi anh giặt nó và bây giờ nó không vừa.
Tom caught the ball.,tom bắt bóng.
I know Tom's widow.,tôi biết quả phụ của tom.
Tom isn't dumb.,Tom không bị câm.
Your time has come,Thời của bạn đã đến
I'm giving you a second chance,tôi đang cho bạn cơ hội thứ hai
"Tom hadn't washed dishes in a week, so the sink was full of dirty dishes.","Tom đã không rửa bát trong một tuần, vì vậy bồn rửa đầy bát đĩa bẩn."
Tom wouldn't have lied.,Tom sẽ không nói dối.
"While I understand what you say, I can't agree with you.","Trong khi tôi hiểu những gì bạn nói, tôi không thể đồng ý với bạn."
There are many stars larger than our sun,có nhiều ngôi sao lớn hơn mặt trời của chúng ta
We aren't dead yet.,chúng tôi chưa chết
The cows are eating grass,những con bò đang ăn cỏ
When did they go?,họ đã đi khi nào
We were all so happy.,chúng tôi đều rất hạnh phúc
She has a talent for dance.,cô ấy có một tài năng về khiêu vũ.
Sheila and I are old friends.,sheila và tôi là bạn cũ.
