en_sents,vi_sents
I heard the news that you purchased a new car.,Tôi nghe tin là bạn đã mua một chiếc xe hơi mới.
Science has brought about many changes in our lives,khoa học đã mang lại nhiều thay đổi trong cuộc sống của chúng ta
Tom didn't get there in time.,Tom đã không đến đó kịp thời.
Here are the pictures from last night,đây là những hình ảnh từ tối qua
That's the least of your problems right now,đó là vấn đề ít nhất của bạn lúc này
I'm against us waiting.,Tôi phản đối việc chúng ta chờ đợi.
Tom slept for twelve hours straight,tom ngủ mười hai giờ liền
He seized the boy by the arm.,anh nắm lấy tay cậu bé.
"I waited for an hour, but he didn't appear","Tôi đợi một tiếng, nhưng anh ta không xuất hiện."
"Line up by height, please.","xếp hàng theo chiều cao, xin vui lòng."
I like rice,tôi thích cơm
We nearly missed the train,chúng tôi suýt lỡ chuyến tàu
He concealed his mouth.,Anh ấy che miệng lại.
Can you tell me who was the first to ascend Mount Everest?,Bạn có thể cho tôi biết ai là người đầu tiên leo lên đỉnh Everest không?
Tom didn't know how to reply,tom không biết trả lời sao
Thunder indicates that a storm is near,sấm sét chỉ ra rằng một cơn bão đang đến gần
Does this car belong to you?,Chiếc xe này có phải của bạn không?
We'd appreciate it if you could introduce yourself briefly.,Chúng tôi sẽ rất cảm kích nếu bạn có thể giới thiệu sơ lược về bản thân.
The constant waiting made them feel fatigued.,Việc chờ đợi liên tục khiến họ cảm thấy mệt mỏi.
The sky was full of stars.,bầu trời đầy sao.
I could barely speak,tôi hầu như không thể nói
I am the best,tôi là nhất
I think maybe Tom needs me.,Tôi nghĩ có lẽ tom cần tôi.
Tom told me to expect a lot of noise here.,Tom nói với tôi rằng hãy chuẩn bị tinh thần cho nhiều tiếng ồn ở đây.
He was shy at the beginning.,Anh ấy đã ngại ngùng ngay từ đầu.
Are you going to vote in the upcoming election?,bạn sẽ bỏ phiếu trong cuộc bầu cử sắp tới?
The mark on the shirt was no longer visible post-wash.,Vết bẩn trên áo không còn nhìn thấy được sau khi giặt.
I told him that he was wrong.,tôi nói với anh ấy rằng anh ấy đã sai.
She accompanied her friend to the concert,cô đi cùng bạn của mình đến buổi hòa nhạc
Shall we go and eat?,chúng ta sẽ đi ăn chứ
I've gotten hungry.,Tôi đã đói.
I'm getting a new house built,tôi đang xây một ngôi nhà mới
You're not hearing me out.,Bạn không lắng nghe tôi nói hết.
It's been a rather hectic period for me.,Đây là một giai đoạn khá bận rộn đối với tôi.
I didn't expect them to arrive.,Tôi không mong đợi họ đến.
The same thing that befell Tom might have happened to me.,Điều tương tự đã xảy ra với Tom cũng có thể xảy ra với tôi.
What are some good foods to eat with potatoes?,một số thực phẩm tốt để ăn với khoai tây là gì?
Tom went home.,tom về nhà
Would you join me for some ballroom dancing?,bạn sẽ tham gia cùng tôi để nhảy khiêu vũ chứ?
I'm not like most people,tôi không giống hầu hết mọi người
Many consider philosophy to be a challenging subject.,Nhiều người coi triết học là một môn học khó.
We won't do it without you.,chúng tôi sẽ không làm điều đó mà không có bạn.
What's the reason you're so mad at him?,Lý do gì mà bạn lại giận anh ấy đến vậy?
You have half a minute.,Bạn có nửa phút.
We can both do it.,cả hai chúng ta có thể làm điều đó
He disappeared without a trace,anh ta biến mất không một dấu vết
Jenny thanked me for the gift,jenny cảm ơn tôi về món quà
Please forgive me for not having written sooner.,xin vui lòng tha thứ cho tôi vì đã không viết sớm hơn.
I'm pleased to meet you,tôi rất vui được gặp bạn
The lipstick set him back twenty dollars.,Thỏi son đó đã khiến anh ấy mất hai mươi đô la.
What do you think of these?,Bạn nghĩ gì về những thứ này?
I don't know Tom very well.,tôi không biết rõ về tom
We got a good price for that,chúng tôi có một mức giá tốt cho điều đó
I did nothing out of the ordinary.,tôi không làm gì khác thường
The price of fuel continues to climb.,Giá nhiên liệu tiếp tục leo thang.
We're both named Tom.,chúng tôi đều tên là tom.
This game would be ours if he were an effective pitcher.,Trận đấu này sẽ là của chúng ta nếu anh ấy là một người ném bóng hiệu quả.
Just give me a bit more time.,chỉ cần cho tôi thêm một chút thời gian
The decision was made by her to have the operation.,Cô ấy đã đưa ra quyết định phẫu thuật.
Don't mess things up.,đừng làm mọi thứ rối tung lên
I don't like being cheated.,Tôi không thích bị lừa dối.
We aren't dead yet.,chúng tôi chưa chết
I have a friend whose dad's profession is teaching.,Tôi có một người bạn mà nghề của bố cô ấy/anh ấy là dạy học.
There's coal burning inside the stove.,Có than đang cháy bên trong bếp.
I'm not about to ask him,tôi không định hỏi anh ấy
I hardly ever see Tom anymore.,Tôi hầu như không bao giờ nhìn thấy tom nữa.
Tom isn't convinced,tom không bị thuyết phục
There was a need for intervention.,Cần phải có sự can thiệp.
It was clear to me that you wouldn't leave.,Rõ ràng với tôi là bạn sẽ không rời đi.
He was spared a court appearance by the police.,Anh ta đã được cảnh sát tha cho việc ra tòa.
Tom had to get some aid to complete his taxes.,Tom phải nhờ giúp đỡ để hoàn thành các khoản thuế của mình.
"Tom doesn't want you to go, does he?","Tom không muốn bạn đi, phải không?"
Some people think that advertising is a form of brainwashing.,một số người nghĩ rằng quảng cáo là một hình thức tẩy não.
Where did you buy that skirt?,bạn mua cái váy đó ở đâu
I had a dentist's appointment this morning.,tôi đã có một cuộc hẹn với nha sĩ sáng nay.
I'm going to grab a bite to eat,tôi sẽ cắn một miếng để ăn
Tom told me you needed some money.,tom nói với tôi bạn cần một số tiền
Wasn't Tom supposed to be here?,Tom không ở đây à?
"I'm sorry, but you're wrong.","tôi xin lỗi, nhưng bạn đã sai"
I locked myself out of my house,tôi tự nhốt mình ra khỏi nhà
He is absorbed in the study of linguistics.,ông mải mê nghiên cứu ngôn ngữ học.
I didn't expect that to come from you.,tôi không mong đợi điều đó đến từ bạn
I think I broke Tom's heart.,Tôi nghĩ rằng tôi đã phá vỡ trái tim của tom.
Many young people in Japan eat bread for breakfast.,Nhiều người trẻ ở Nhật Bản ăn bánh mì cho bữa sáng.
I trust you.,tôi tin bạn.
I'll share with you the small amount of cash I possess.,Tôi sẽ chia sẻ với bạn số tiền ít ỏi tôi có.
Tom and Mary quietly slipped out of the room.,Tom và mary lặng lẽ rời khỏi phòng.
It's essential to combat that propensity of yours.,Điều cần thiết là phải chiến đấu chống lại khuynh hướng đó của bạn.
I'm really looking forward to a restful night's sleep now that Tom is no longer a concern.,Tôi thực sự mong chờ một giấc ngủ đêm ngon giấc khi Tom không còn là mối bận tâm nữa.
Why are you studying Italian?,tại sao bạn học tiếng ý
Tom threw a wadded-up piece of paper at Mary.,tom ném một mảnh giấy bông lên mary.
Shall we discuss this contentiously?,Chúng ta sẽ thảo luận một cách tranh cãi về điều này chứ?
He's completely enamored.,Anh ấy hoàn toàn mê đắm.
"You just saw something, didn't you?","bạn vừa thấy một cái gì đó, phải không?"
We weren't involved in that,chúng tôi không liên quan đến điều đó
It's recommended that you apologize for what came out of your mouth.,Nên là bạn hãy xin lỗi vì những gì đã nói ra.
Tom had a bad dream last night,Tom đã có một giấc mơ tồi tệ đêm qua
I was under the impression your cello was in the auto.,Tôi đã có ấn tượng rằng cây cello của bạn đã ở trong xe.
Your time has come,Thời của bạn đã đến
"No matter how hard he tried, he could not get out of the maze","dù cố gắng thế nào, anh cũng không thể thoát ra khỏi mê cung"
You have to choose your own destiny,bạn phải chọn số phận của riêng bạn
The number of people suffering from AIDS has increased,số người bị bệnh viện trợ đã tăng lên
Urgent business discouraged him from going on a picnic,công việc khẩn cấp khiến anh không thể đi dã ngoại
We can't both coexist in this small town.,Chúng ta không thể cùng tồn tại trong thị trấn nhỏ bé này.
She sat next him and listened quietly.,Cô ngồi cạnh anh và im lặng lắng nghe.
I always figured Tom would become a teacher.,tôi luôn luôn nghĩ rằng tom sẽ trở thành một giáo viên.
She is living in the middle of nowhere.,cô ấy đang sống ở một nơi xa xôi
The lipstick cost him twenty dollars.,Thỏi son đó đã tiêu tốn của anh ấy hai mươi đô la.
Could you please help Tom?,Bạn có thể giúp Tom một chút được không?
Don't waste so much food,đừng lãng phí quá nhiều thức ăn
"If you listen carefully to my instructions, it'll save you some time","nếu bạn lắng nghe cẩn thận những chỉ dẫn của tôi, nó sẽ giúp bạn tiết kiệm thời gian"
Any suitcases for us to inspect?,Có vali nào để chúng tôi kiểm tra không?
Tom ought not to have used Mary's car.,Tom lẽ ra không nên sử dụng xe của Mary.
The likelihood of him succeeding is minimal.,Khả năng anh ấy thành công là rất nhỏ.
Just answer the question.,Chỉ cần trả lời câu hỏi.
He underlined the significance of the problem.,Ông ấy đã nhấn mạnh tầm quan trọng của vấn đề.
Do you believe Tom is without scruples?,Bạn có tin rằng Tom là người không có lương tâm không?
Tom gives the impression of being utterly fatigued.,Tom tạo ấn tượng như thể anh ấy hoàn toàn mệt mỏi.
Food is a basic necessity,thực phẩm là một nhu cầu cơ bản
You'll find transparent glass in nearly all cars.,Bạn sẽ thấy kính trong suốt ở gần như tất cả các xe ô tô.
Tom held out his mug and Mary refilled it,tom đưa cốc của mình ra và mary nạp lại
I don't want to lose my wife.,Tôi không muốn mất vợ.
Do you think I should do this?,Bạn có nghĩ rằng tôi nên làm điều này?
I just got back from supermarket.,tôi vừa trở về từ siêu thị
Tom was on the bus.,Tom đã lên xe buýt.
Are you coming back?,bạn có về không
Just say yes or no.,chỉ nói có hoặc không.
The radio was invented by Marconi,radio được phát minh bởi marconi
Everything's fine,mọi thứ đều ổn
Don't take unnecessary risks.,đừng chấp nhận rủi ro không cần thiết.
This is the last one we have.,đây là cái cuối cùng chúng ta có
I located the gloves that had been placed below the chair.,Tôi đã xác định vị trí đôi găng tay đã được đặt dưới ghế.
We didn't know what to do next.,chúng tôi không biết phải làm gì tiếp theo.
It rained day after day.,ngày mưa ngày này qua ngày khác
That house is really better than this house.,Ngôi nhà đó thực sự tốt hơn ngôi nhà này.
I ran into Tony as I was going home yesterday.,Tôi tình cờ gặp Tony khi đang về nhà hôm qua.
There was something.,có một cái gì đó
Seven is sometimes considered a lucky number.,bảy đôi khi được coi là một con số may mắn.
Tom doesn't think Mary is fit for the job,Tom không nghĩ mary phù hợp với công việc
I spent all the money I had to buy the book,tôi đã tiêu hết số tiền tôi phải mua cuốn sách
The police continued their investigation,cảnh sát tiếp tục điều tra
Where were they going?,họ đã đi đâu
"Thanks to you, we're in quite a pickle.",Nhờ bạn mà chúng tôi đang gặp rắc rối lớn.
They will do anything to reach their political objectives.,Họ sẽ làm bất cứ điều gì để đạt được các mục tiêu chính trị của mình.
It's impossible to tell what might happen.,không thể biết chuyện gì có thể xảy ra
He did not go into Earth orbit.,ông không đi vào quỹ đạo trái đất.
What brings you here by yourself?,Điều gì đưa bạn đến đây một mình vậy?
We'll have the element of surprise on our side.,chúng ta sẽ có yếu tố bất ngờ về phía chúng ta.
"Tom didn't want to sing, but Mary made him sing.","Tom không muốn hát, nhưng mary đã bắt anh hát."
I had lost my pen,tôi bị mất bút
I waited for an hour in the meeting room,tôi đã đợi một giờ trong phòng họp
You appear to be making an overwhelming effort.,Bạn dường như đang nỗ lực quá lớn.
It's a work in progress.,đó là một công việc đang tiến triển.
A conflagration suddenly ignited within the picture house.,Một vụ hỏa hoạn bất ngờ bùng lên bên trong rạp chiếu bóng.
You're the one who started the fight,bạn là người bắt đầu cuộc chiến
The meeting lasted two hours,cuộc họp kéo dài hai giờ
Could you give us a brief introduction to who you are?,Bạn có thể giới thiệu sơ qua về bản thân mình không?
You could experience some pain.,Bạn có thể trải qua một số cơn đau.
Our bus has arrived!,Xe buýt của chúng ta đã đến!
A meeting with Tom is highly essential for us.,Một cuộc gặp với Tom là cực kỳ cần thiết đối với chúng ta.
We're journeying with very little money to spare.,Chúng tôi đang du hành với rất ít tiền để chi tiêu.
"This isn't your place, is it?","Đây không phải là nơi của bạn, phải không?"
Follow the old river bed for two kilometers.,theo lòng sông cũ hai cây số.
Do you want to do that right now?,Bạn có muốn làm điều đó ngay bây giờ?
You're innocent,bạn vô tội
I managed to locate the gloves that were hidden below the chair.,Tôi đã xoay sở để định vị đôi găng tay đã được giấu dưới ghế.
I just told Tom to leave Mary alone,tôi chỉ bảo tom rời khỏi mary một mình
The evening meal is served between 9 and 12.,bữa ăn tối được phục vụ từ 9 đến 12.
I warned Tom about going outside once it was dark.,Tôi đã cảnh báo Tom về việc ra ngoài khi trời đã tối.
He's very upset by this.,Anh ấy rất buồn vì điều này.
Do you think you can live on a dollar a day in America?,Bạn có nghĩ rằng bạn có thể sống bằng một đô la một ngày ở Mỹ không?
Tom's not at all sure what he should do.,Tom không chắc chắn những gì anh ấy nên làm.
It could have been you,nó có thể là bạn
That's a pretty good idea,đó là một ý tưởng khá tốt
Why did you want to come back here?,tại sao bạn muốn quay lại đây
I don't want to miss the bus,tôi không muốn bỏ lỡ xe buýt
Please refer to page ten.,vui lòng tham khảo trang mười.
What made Tom convince you to do this?,Điều gì đã khiến Tom thuyết phục bạn làm điều này?
I told Tom that the party wouldn't be much fun,tôi nói với tom rằng bữa tiệc sẽ rất vui
Jane didn't buy it after all.,Jane đã không mua nó sau khi tất cả.
He asked his teacher stupid questions.,anh hỏi cô giáo những câu hỏi ngu ngốc.
I'm the only one who truly knows who Tom is.,Tôi là người duy nhất thực sự biết Tom là ai.
Your kids display exceptional good manners.,Con bạn thể hiện cách cư xử rất tốt.
"What do you want me to do, Tom?","bạn muốn tôi làm gì, tom"
That's a problem you have to handle by yourself,đó là một vấn đề bạn phải tự xử lý
The snowstorm continued.,cơn bão tuyết tiếp tục.
"Whichever you take, you will like it","bất cứ điều gì bạn lấy, bạn sẽ thích nó"
What's the reason you're here all by yourself?,Lý do bạn ở đây một mình là gì?
Search for the new expressions in your wordbook.,Tìm kiếm các cụm từ mới trong sổ từ của bạn.
I missed a golden opportunity,tôi đã bỏ lỡ một cơ hội vàng
You've certainly gotten us into a mess.,Bạn thực sự đã khiến chúng ta gặp rắc rối.
Your decision to stay didn't surprise me.,Quyết định ở lại của bạn không làm tôi ngạc nhiên.
Something is the matter with him today,hôm nay có vấn đề với anh ấy
Tom comes from Boston.,tom đến từ boston.
Tom needs proper medical treatment,tom cần điều trị y tế thích hợp
I was certain you wouldn't leave.,Tôi đã chắc chắn bạn sẽ không rời đi.
Why aren't you participating? I have no desire to.,Tại sao bạn không tham dự? Tôi không có mong muốn.
I hope we have a white Christmas,tôi hy vọng chúng ta có một Giáng sinh trắng
The validity of this ticket extends for two days from its date of purchase.,Thời hạn sử dụng của vé này kéo dài hai ngày kể từ ngày mua.
Tom knows it.,Tom biết điều đó.
Can you tell us what happened at school last Monday?,bạn có thể cho chúng tôi biết những gì đã xảy ra ở trường vào thứ hai tuần trước?
He greeted me with a smile.,Anh ấy chào tôi bằng một nụ cười.
It's nothing to be ashamed of,không có gì phải xấu hổ về
Eat your veggies,ăn rau của mình đi
"I didn't want to work with him, but I made the best of it","tôi không muốn làm việc với anh ta, nhưng tôi đã làm tốt nhất"
She has an encyclopedic knowledge of cooking,cô ấy có kiến thức bách khoa về nấu ăn
I can perceive that Tom is present.,Tôi có thể nhận thấy Tom đang có mặt.
My mother is angry.,Mẹ tôi tức giận.
We have only three days.,chúng tôi chỉ có ba ngày.
We must be going now,chúng ta phải đi ngay bây giờ
Her career was on the verge of collapse due to the scandal.,Sự nghiệp của cô ấy đứng trước bờ vực sụp đổ vì vụ bê bối.
I can't detect any pattern.,tôi không thể phát hiện bất kỳ mô hình.
Don't lean against this wall.,đừng dựa vào bức tường này
The rules require us all to be present.,các quy tắc yêu cầu tất cả chúng ta phải có mặt.
The ribbon doesn't match the dress.,ruy băng không phù hợp với chiếc váy.
How is Tom anyhow?,Tom thế nào rồi?
Tom punched him in the face,tom đấm vào mặt anh
He is an old friend of mine,anh ấy là một người bạn cũ của tôi
Which people are aboard the train?,Những người nào đang ở trên tàu?
What do we have before us?,Chúng ta có gì trước mặt đây?
I lost sight of her in the crowd.,tôi đã mất tầm nhìn của cô ấy trong đám đông.
Tom happened to meet Mary at the supermarket.,Tom tình cờ gặp mary ở siêu thị.
Is that all you have to say to me?,đó là tất cả những gì bạn phải nói với tôi?
I'll open it,tôi sẽ mở nó
Your work didn't come up to our expectations,công việc của bạn không đến với mong đợi của chúng tôi
Tom was extremely tardy.,Tom đã đến cực kỳ chậm trễ.
What is this before us?,Cái này là gì trước mặt chúng ta đây?
Would you see to it that they get properly fed?,Bạn có thấy rằng họ được cho ăn đúng cách?
I got paid today.,tôi đã được trả tiền ngày hôm nay
I wish I could figure out how to get Flash to work on my iPad.,tôi ước tôi có thể tìm ra cách để flash hoạt động trên ipad của tôi.
Tom remained busy packing.,Tom vẫn bận rộn với việc đóng gói.
Our intention isn't to create problems.,Ý định của chúng tôi không phải là gây ra vấn đề.
The only way I can eat oatmeal is with a lot of sugar.,Cách duy nhất tôi có thể ăn bột yến mạch là với rất nhiều đường.
Feel free to address me as Taro.,Cứ gọi tôi là Taro.
It's unlikely I'd look for you to get it.,Không có khả năng tôi sẽ mong bạn hiểu được điều đó.
Where will you go for the vacation?,bạn sẽ đi nghỉ ở đâu
The teacher is fresh from college,giáo viên mới ra trường
You look wasted.,bạn trông thật lãng phí
She writes to her parents once a week,cô ấy viết thư cho cha mẹ mỗi tuần một lần
I belong to the drama club,tôi thuộc câu lạc bộ kịch
I will have been studying English for five years next February,tôi sẽ học tiếng anh trong năm năm tới
This doesn't make Tom happy.,Điều này không làm Tom vui.
They harassed the latest addition to the class.,Họ đã quấy rối thành viên mới nhất của lớp.
He did not understand what was in the way of his success in life.,anh không hiểu điều gì đã cản trở thành công của anh trong cuộc sống.
There's a spider in the bathroom.,Có một con nhện trong phòng tắm.
I looked at myself in the mirror and I didn't like what I saw,tôi nhìn mình trong gương và tôi không thích những gì tôi thấy
You should manage your own responsibilities.,Bạn nên quản lý những trách nhiệm của riêng mình.
The foe released a large number of bombs over the factory.,Kẻ thù đã thả một số lượng lớn bom xuống nhà máy.
She divorced him after many years of unhappiness.,Cô ly dị anh sau nhiều năm bất hạnh.
The coffee was too hot for me to drink.,cà phê quá nóng để tôi uống
I like my job just fine.,tôi thích công việc của tôi tốt
The only access to the farmhouse is across the fields.,truy cập duy nhất vào trang trại là trên các lĩnh vực.
I told myself I could do it.,tôi tự nhủ mình có thể làm được.
Things are continuously worsening.,Mọi thứ đang ngày càng trở nên tồi tệ hơn.
Is anybody on the line?,có ai trên đường không?
"Don't worry about it, Tom. It's not your problem","đừng lo lắng về điều đó, tom. Đó không phải là vấn đề của bạn"
The mayor presented him with the key to the city,thị trưởng tặng ông chìa khóa cho thành phố
We should go get something to eat.,chúng ta nên đi ăn gì đó
I doubt that Tom is innocent,tôi nghi ngờ rằng tom là vô tội
Could you attach these buttons by sewing?,Bạn có thể đính các nút này bằng cách khâu không?
It seems to me you've already laid eyes on this.,"Với tôi, có vẻ bạn đã nhìn thấy điều này rồi."
Can I buy you dinner?,tôi có thể mua cho bạn bữa tối?
There was a small audience in the hall.,Có một khán giả nhỏ trong hội trường.
Don't let go of the rope.,đừng buông sợi dây.
My aunt grows tomatoes in her garden.,dì tôi trồng cà chua trong vườn nhà.
I can hear the wind in the trees.,tôi có thể nghe thấy tiếng gió trên cây.
Bela Lugosi acted in several movies,bela lugosi diễn xuất trong một số bộ phim
It took many torpedo hits to send the battleship Bismarck to Davy Jones's locker.,phải mất nhiều lần trúng ngư lôi để gửi tàu chiến bismarck tới tủ khóa của dones jones.
My memory failed me regarding your golf prowess.,Trí nhớ của tôi đã không còn nhớ được tài năng golf của bạn.
I'm not strange,tôi không lạ
Tom transferred in from Boston.,tom chuyển từ boston.
The travel company furnished us with all the details of the tour,công ty du lịch cung cấp cho chúng tôi tất cả các chi tiết của tour du lịch
Are you sure this is the spot?,bạn có chắc đây là chỗ không?
Tom inquired if Mary could buy a ticket for him.,Tom hỏi liệu Mary có thể mua vé cho anh ấy không.
We used to be close friends.,chúng tôi từng là bạn thân.
I can't spare the time.,Tôi không thể dành thời gian.
I didn't find Tom.,tôi đã không tìm thấy tom.
"I didn't want to catch a cold, so I didn't go skiing","tôi không muốn bị cảm lạnh, vì vậy tôi đã không đi trượt tuyết"
The cake should be done soon,bánh nên được thực hiện sớm
I don't want to make any mistakes,tôi không muốn phạm sai lầm
They didn't say anything,họ không nói gì cả
France is where this machine was made.,Pháp là nơi chiếc máy này được chế tạo.
What's his place of employment?,Nơi làm việc của anh ấy là ở đâu?
